CoursesKey,Name,Credits,CourseType,Semester,Year,StartDate,EndDate,CourseMode,ClassStrength,InstructorFK,ProgramFK
MSAI101,"Artifical Intelligence",2,Core,Spring,2024,2024-01-08,2024-04-26,Online,20,,P003
MSAI102,"Data algorithms and Data Structure",2,Core,Spring,2024,2024-01-07,2024-04-25,Offline,20,,P003
MSAI103,"Natural Language Processing",2,Elective,Fall,2023,2023-09-01,2023-12-15,Offline,40,,P003
MSAI104,"Machine Learning",2,Elective,Fall,2023,2023-09-05,2023-12-09,Offline,20,,P003
MSAI105,"AI Ethics And Fairness",2,Elective,Fall,2024,2024-09-06,2024-12-13,Offline,20,,P003
MSAI106,"Human Computer Interaction",2,General,Spring,2025,2025-01-15,2025-04-30,Offline,20,,P003
MSAI107,"Cloud Coputing for AI",2,General,Summer,2023,2023-05-16,2023-08-04,Offline,20,,P003
MSAI108,"reinforcement learning",2,General,Spring,2025,2025-01-06,2025-04-29,Offline,20,,P003
MSAI109,"AI Capstone Project",6,Capstone,Fall,2024,2024-09-18,2024-12-20,Online,20,,P003
MSDS201,"Introduction to Data science",2,Core,Fall,2025,,,Offline,40,,P004
MSDS202,"Data wrangling and pre-processing",2,Core,Fall,2025,,,Offline,20,,P004
MSDS203,"Deep Learning",2,Elective,Summer,2025,2025-5-07,2025-08-09,Offline,40,,P004
MSDS204,"Data visualization",2,Elective,Summer,2025,2025-05-09,2025-08-11,Offline,20,,P004
MSDS205,"Data ethics and privacy",2,Elective,Spring,,,,Offline,20,,P004
MSDS206,"R for statistical Computing",2,Technical,Fall,,,,Offline,40,,P004
MSDS207,"Python for data science",2,Technical,Spring,,,,Offline,20,,P004
MSDS208,"Big data technologies",2,Technical,Spring,,,,Offline,20,,P004
MSDS209,"Data science Capstone project",6,Capstone,Spring,,,,Online,20,,P004
MSFI301,"Financial Accounting",2,Core,Spring,,,,Offline,40,,P007
MSFI302,"Corporate Finance",2,Core,Fall,,,,Offline,40,,P007
MSFI303,"Equity evaluation",2,Elective,Fall,,,,Online,40,,P007
MSFI304,"behavioral finance",2,Elective,Spring,,,,Offline,20,,P007
MSFI305,"financial modeling",2,Elective,Fall,,,,Offline,20,,P007
MSFI306,"ML in finance",2,Technical,Spring,,,,Offline,40,,P007
MSFI307,"Data analytics for finance",2,Technical,Fall,,,,Offline,20,,P007
MSFI308,"programming for finance",2,Technical,Summer,,,,Offline,20,,P007
MSFI309,"FI Capstone project",6,Capstone,Spring,,,,Online,40,,P007
MSDA401,"Introduction to data analytics",2,Core,Spring,,,,Online,20,,P008
MSDA402,"Data mining",2,Core,Spring,,,,Offline,40,,P008
MSDA403,"R for statistical modeling",2,Technical,Spring,,,,Offline,20,,P008
